url,status,final_url,title,description,canonical,h1,h1_count,html_bytes,image_count,missing_alt,schema_types,robots
https://www.eventaj.si,200,https://www.eventaj.si,Eventaj.si | Photo Booth in 360° Booth za dogodke,"Eventaj.si ustvarja Photo Booth in 360° Booth doživetja za poroke, poslovne dogodke in praznovanja po Sloveniji. Oglejte si storitve, pakete in proste termine.",https://www.eventaj.si,Eventaj.si – Photo Booth in 360° Booth za dogodke,1,213882,33,0,"WebSite,Organization,LocalBusiness","index, follow"
https://www.eventaj.si/360-photo-booth,200,https://www.eventaj.si/360-photo-booth,360° Booth najem po Sloveniji od 299 € | Eventaj.si,"360° Booth najem za slow-motion posnetke, QR deljenje in profesionalno izvedbo po Sloveniji. Dodaj QR galerijo za 35 € na dogodek.",https://www.eventaj.si/360-photo-booth,Najem 360° bootha po Sloveniji,1,186135,5,0,"Service,BreadcrumbList,FAQPage","index, follow"
https://www.eventaj.si/photo-booth,200,https://www.eventaj.si/photo-booth,Foto box (photo booth) najem od 279 € | Eventaj.si,"Najem foto boxa oziroma photo bootha za dogodke po Sloveniji. Od 279 €/2h, paket Photo Booth + QR galerija od 314 €.",https://www.eventaj.si/photo-booth,Najem foto boxa oziroma photo bootha po Sloveniji,1,223742,52,0,"Service,BreadcrumbList,FAQPage","index, follow"
https://www.eventaj.si/cenik,200,https://www.eventaj.si/cenik,"Cenik Photo Bootha, 360° Bootha in QR galerije | Eventaj.si","Pregleden cenik za Photo Booth, 360° Booth in QR galerijo. Photo Booth od 279 €, 360° Booth od 299 €, QR galerija 35 € na dogodek.",https://www.eventaj.si/cenik,"Cenik Photo Bootha, 360° Bootha in QR galerije | Eventaj.si",1,61253,0,0,BreadcrumbList,"index, follow"
https://www.eventaj.si/oprema-za-dogodke,200,https://www.eventaj.si/oprema-za-dogodke,Oprema za dogodke – najem in izdelava | Eventaj.si,"Najem opreme in izdelava personaliziranih izdelkov za poroke, poslovne dogodke in praznovanja. Oglejte si cene in možnosti.",https://www.eventaj.si/oprema-za-dogodke,"Oprema za dogodke, brez kompliciranja.",1,123880,11,0,"CollectionPage,ItemList,BreadcrumbList","index, follow"
https://www.eventaj.si/oprema-za-dogodke/najem-stojecih-miz,200,https://www.eventaj.si/oprema-za-dogodke/najem-stojecih-miz,Najem stoječih barskih miz – 10 €/dan | Eventaj.si,"Najem stoječih barskih miz za dogodke po 10 € na mizo za en dan. Bel ali črn prt je vključen, na voljo je do 15 miz.",https://www.eventaj.si/oprema-za-dogodke/najem-stojecih-miz,Najem stoječih barskih miz.,1,97192,6,0,"Service,BreadcrumbList,FAQPage","index, follow"
https://www.eventaj.si/oprema-za-dogodke/tabla-dobrodoslice,200,https://www.eventaj.si/oprema-za-dogodke/tabla-dobrodoslice,Tabla dobrodošlice za poroko – najem ali nakup | Eventaj.si,"Najem ali izdelava table dobrodošlice 60 × 90 cm z imeni in datumom. Bela ali ogledalna izvedba, stojalo vključeno.",https://www.eventaj.si/oprema-za-dogodke/tabla-dobrodoslice,Najem table dobrodošlice.,1,101186,6,0,"Service,BreadcrumbList,FAQPage","index, follow"
https://www.eventaj.si/oprema-za-dogodke/stevilke-miz,200,https://www.eventaj.si/oprema-za-dogodke/stevilke-miz,"Najem številk miz za poroko – od 1,90 € | Eventaj.si","Akrilne številke miz z zlatim, srebrnim ali prozornim licem in podstavki. Najem od 1,90 € na mizo, do 30 številk.",https://www.eventaj.si/oprema-za-dogodke/stevilke-miz,Najem številk za mize.,1,100235,6,0,"Service,BreadcrumbList,FAQPage","index, follow"
https://www.eventaj.si/oprema-za-dogodke/imena-za-na-kroznik,200,https://www.eventaj.si/oprema-za-dogodke/imena-za-na-kroznik,Lesena imena za na krožnik po meri | Eventaj.si,"Personalizirana lesena imena gostov za na krožnik v beli ali naravni izvedbi. Za sedežni red in darilce, izdelava od 40 kosov po 1,90 €.",https://www.eventaj.si/oprema-za-dogodke/imena-za-na-kroznik,Izdelava imen za na krožnik.,1,97308,4,0,"Service,BreadcrumbList,FAQPage","index, follow"
https://www.eventaj.si/oprema-za-dogodke/knjiga-gostov-v-okvirju,200,https://www.eventaj.si/oprema-za-dogodke/knjiga-gostov-v-okvirju,Personalizirana knjiga gostov v okvirju od 175 € | Eventaj.si,Personalizirana lesena knjiga gostov v obliki srca ali drevesa. Izberi 150 ploščic za 175 € ali 200 ploščic za 200 €. Gravura je vključena.,https://www.eventaj.si/oprema-za-dogodke/knjiga-gostov-v-okvirju,Knjiga gostov v obliki srca ali drevesa.,1,97652,4,0,"Service,BreadcrumbList,FAQPage","index, follow"
